FED_NUM,ED_NAMEE,SHAPE_Area,pop_2021_CNT
24037,LaSalle--Émard--Verdun,36245020.67260000110,107564
59036,Vancouver Granville,22579736.89719999954,109799
59033,Surrey--Newton,30006915.15830000117,122264
59037,North Island--Powell River,72381465033.30000305176,111825
59034,Vancouver Centre,19367220.33769999817,126995
59035,Vancouver East,25892364.14409999922,118675
48005,Calgary Confederation,54356708.79909999669,124064
48004,Calgary Centre,49257055.11630000174,130010
35009,Brampton East,89461709.85750000179,131677
35010,Brampton North,35529662.55960000306,125141
35011,Brampton South,49302388.63000000268,132752
35012,Brampton West,60955017.05699999630,162353
35014,Bruce--Grey--Owen Sound,10250809372.20000076294,113348
35015,Burlington,85192583.93610000610,125435
35017,Chatham-Kent--Leamington,3345411467.36000061035,113654
35066,Niagara Centre,515139381.50599998236,119809
35067,Niagara Falls,714072790.94099998474,146404
35070,Nipissing--Timiskaming,15433354975.50000000000,89781
35071,Northumberland--Peterborough South,3216920500.01999998093,118756
59038,Vancouver Kingsway,15305871.58139999956,108054
59039,Vancouver Quadra,57503242.18850000203,109328
59040,Vancouver South,21204109.04419999942,109339
59041,Victoria,426502814.72499996424,123482
59042,West Vancouver--Sunshine Coast--Sea to Sky Country,14758309722.59999847412,131206
48007,Calgary Heritage,70385106.53859999776,109141
48006,Calgary Forest Lawn,53276305.57720000297,107939
35013,Brantford--Brant,885629917.64999997616,140139
35016,Cambridge,373036075.96100002527,121301
35072,Oakville,98314887.68829998374,122322
24038,Laurentides--Labelle,19698310732.00000000000,123796
24039,Laurier--Sainte-Marie,10965227.05040000007,116932
35068,Niagara West,1195800431.83999991417,96946
48009,Calgary Nose Hill,57154862.65189999342,115287
48010,Calgary Rocky Ridge,90242896.23520000279,145326
35018,Davenport,12671335.58819999918,105946
35020,Don Valley North,25616446.53929999843,113663
35019,Don Valley East,24086834.94020000100,95039
24040,Laval--Les Îles,53497069.08700000495,111784
24041,Longueuil--Charles-LeMoyne,38977875.95340000093,112257
24042,Lévis--Lotbinière,2237870434.59000015259,118608
48012,Calgary Signal Hill,66230426.43729999661,122818
48013,Calgary Skyview,122960122.45499999821,159642
24043,Longueuil--Saint-Hubert,63172679.31149999797,115082
24044,Louis-Hébert,106452807.78200000525,111322
24045,Louis-Saint-Laurent,141428022.12400001287,123123
24046,Manicouagan,3414228657.81999969482,88525
24046,Manicouagan,309033528860.00000000000,88525
24046,Manicouagan,581815345.64600002766,88525
59007,Cloverdale--Langley City,59557541.10610000044,130665
48014,Edmonton Centre,46451837.50760000199,109125
59006,Chilliwack--Hope,3353139725.00000000000,112037
59008,Coquitlam--Port Coquitlam,655736388.08899998665,132004
59009,Courtenay--Alberni,12065909330.60000228882,125116
59009,Courtenay--Alberni,92638.71705710000,125116
59010,Cowichan--Malahat--Langford,5364956282.90999984741,124247
24048,Mirabel,931123875.80900001526,132930
24047,Mégantic--L'Érable,6279117406.93000125885,88894
24049,Montarville,157207261.57100000978,100515
24050,Montcalm,906226761.05700004101,118746
24051,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,9376498816.48999977112,96724
24052,Mount Royal,23314543.89020000398,108494
48015,Edmonton Griesbach,46250684.88220000267,111699
48016,Edmonton Manning,157861808.00000000000,132224
48017,Edmonton Mill Woods,49998639.69699999690,125992
48022,Foothills,20868237206.90000152588,115118
48023,Fort McMurray--Cold Lake,147405184149.00000000000,110163
24053,Notre-Dame-de-Grâce--Westmount,16553556.78879999928,105601
24054,Outremont,12305364.94360000081,103620
24055,Papineau,10203407.69480000064,110813
24056,Pierrefonds--Dollard,65685269.58770000190,109497
24057,Pontiac,30842906241.79999923706,129781
24058,Portneuf--Jacques-Cartier,7724425009.77999973297,123243
24060,Repentigny,235398941.70099997520,119204
24061,Richmond--Arthabaska,3572314817.03000068665,110651
24062,Rivière-des-Mille-Îles,124697050.58699999750,105589
48018,Edmonton Riverbend,59861234.90359999239,124144
48026,Lethbridge,3028291411.76000070572,123847
48027,Medicine Hat--Cardston--Warner,30045297175.40000152588,108391
48028,Peace River--Westlock,105954050013.00000000000,107223
48024,Grande Prairie--Mackenzie,109165773916.00000000000,119586
48029,Red Deer--Mountain View,7658442227.77000045776,120739
48030,Red Deer--Lacombe,6321655553.18000030518,131575
48031,St. Albert--Edmonton,103531370.82400000095,130822
48032,Sherwood Park--Fort Saskatchewan,1271667005.45000004768,126313
48033,Sturgeon River--Parkland,4004519087.70000028610,124849
48034,Yellowhead,76115947962.10000610352,99218
24059,Québec,39412131.16130000353,98772
24063,Rivière-du-Nord,381244428.29299998283,122654
24064,Rosemont--La Petite-Patrie,11025715.00200000033,112909
59001,Abbotsford,176358969.04499998689,110331
59002,Burnaby North--Seymour,130957254.11200000346,108794
59003,Burnaby South,47336901.11850000173,120305
59004,Cariboo--Prince George,83163522356.10000610352,111226
59005,Central Okanagan--Similkameen--Nicola,16208341838.60000038147,122340
13007,Moncton--Riverview--Dieppe,167718989.19200000167,101237
13006,Miramichi--Grand Lake,18248622563.70000076294,57520
13008,New Brunswick Southwest,12292068588.20000076294,67781
13009,Saint John--Rothesay,524841391.51200002432,81996
13010,Tobique--Mactaquac,15129431683.50000000000,69344
13002,Beauséjour,5141382535.97999954224,88797
13001,Acadie--Bathurst,6216188731.99000072479,77594
13003,Fredericton,1678509916.67000007629,87436
13004,Fundy Royal,8265157955.92000007629,83721
13005,Madawaska--Restigouche,12393958342.70000076294,60184
35056,Markham--Unionville,88614105.60029999912,128308
